Area,Sps,Time
NW,Turkey,0.7049
NW,Deer,0.3045
NW,Deer,0.8071
NW,Deer,0.9342
NW,Deer,0.8569
NW,Deer,0.9826
NW,Deer,0.7942
NW,Deer,0.816
NW,Deer,0.8175
NW,Deer,0.8807
NW,Deer,0.9028
NW,Deer,0.934
NW,Deer,0.9561
NW,Deer,0.9792
NW,Deer,0.0027
NW,Deer,0.0243
NW,Deer,0.0625
NW,Deer,0.8916
NW,Deer,0.9132
NW,Deer,0.9516
NW,Deer,0.0941
NW,Deer,0.117
NW,Deer,0.1753
NW,Deer,0.9328
NW,Deer,0.8031
NW,Deer,0.9594
NW,Deer,0.0313
NW,Deer,0.0683
NW,Deer,0.1424
NW,Deer,0.2146
NW,Deer,0.7841
NW,Deer,0.8063
NW,Deer,0.8513
NW,Deer,0.875
NW,Deer,0.9063
NW,Deer,0.9444
NW,Deer,0.9747
NW,Deer,0.9965
NW,Deer,0.0183
NW,Deer,0.0466
NW,Deer,0.1298
NW,Deer,0.1517
NW,Deer,0.1806
NW,Deer,0.2022
NW,Deer,0.2257
NW,Deer,0.3033
NW,Deer,0.5729
NW,Deer,0.9394
NW,Deer,0.1285
NW,Deer,0.9117
NW,Deer,0.0677
NW,Deer,0.125
NW,Deer,0.6867
NW,Deer,0.6236
NW,Deer,0.766
NW,Deer,0.8339
NW,Deer,0.3021
NW,Deer,0.3237
NW,Deer,0.691
NW,Deer,0.7493
NW,Deer,0.9214
NW,Deer,0.9443
NW,Deer,0.972
NW,Deer,0.9936
NW,Deer,0.015
NW,Deer,0.0382
NW,Deer,0.0625
NW,Deer,0.1054
NW,Deer,0.1567
NW,Deer,0.1806
NW,Deer,0.2209
NW,Deer,0.2431
NW,Deer,0.2975
NW,Deer,0.3194
NW,Deer,0.3415
NW,Deer,0.3628
NW,Deer,0.5417
NW,Deer,0.6776
NW,Deer,0.7222
NW,Deer,0.7455
NW,Deer,0.7678
NW,Deer,0.8184
NW,Deer,0.8507
NW,Deer,0.8723
NW,Deer,0.9407
